content,like,comment,share,forward,date
"明天88節，也是八曜生日:生日蛋糕:
點數八倍送，快樂其實很簡單:红心:",214,2,201,1763,2024-8-7
「柚香覺醒307」為何能成為傳說？,183,1,30,209,2024-8-6
"那你多久沒有跟爸爸說「謝謝，辛苦了」
8月8號帶爸爸出去玩，順便來八曜乾一杯:干杯:",19,1,15,2,2024-8-6
"還好popo大人，只是臨檢而已
趕快再去買杯「燕香妃荔504」壓壓驚:脸发烧:",129,3,9,20,2024-8-5
":闪亮:【線上八倍送】門市當天也【點數八倍送】
消費滿60元即可兌換點數一點，
集滿八點即可兌換指定飲品，
八月八號當天，現場買越多送越多。",13,1,35,19,2024-8-5
"8月8號當天，8倍送8倍送8倍送！！
與來八曜一起慶祝:拉炮彩带:",60,15,7,8,2024-8-5
"歡慶:五彩纸屑球:8月8號當天點數8倍送！！！
「集滿8點」可以「兌換指定飲品一杯」
「8倍送」等於…你知道的（買越多賺越多）",83,15,7,6,2024-8-5
"不，你找不到！
因為清爽無咖啡因的308在八曜和茶！！！",933,11,117,165,2024-8-2
"為什麼你總是跑廁所？？
因為八曜的308系列回歸了！！
清爽順口的口感，讓你喝了停不下來",307,1,59,163,2024-8-2
吃漢堡，也要配一杯解膩的八曜和茶吧:红色空心圆圈:,373,2,45,16,2024-8-2
"爸要喝茶，給爸爸最好的
新飲食文化，無咖啡因指標和風茶
8月8號我們在八曜集合吧",25,1,18,30,2024-8-1
：我剛剛買了一杯..,212,4,80,1,2024-8-1
所以你到底是想曜頭，還是「柚香覺醒307」？,149,8,62,1,2024-7-31
"各位早點睡，才能早起買「柚香覺醒307」
曜頭的賴:反手食指向下指:",62,1,12,1,2024-7-29
"彰化中正門市「即將開幕」
送超大連續幾天，行事曆該設鬧鐘了:闹钟:",382,19,71,26,2024-7-29
那有人知道「308系列」是無咖啡因的嗎？,94,2,11,33,2024-7-29
00:00點名,1916,46,3,0,2024-7-29
"今天行程：
買杯八曜，看巴黎奧運支持台灣隊",349,9,1,0,2024-7-28
"原來你還沒喝過，清爽燕麥奶系列
「龍香燕麥504」，難怪只能永遠讀著對白",236,1,94,73,2024-7-28
"但我的輸入法也自動變成：
曜不曜來一杯「浪煎龍片504」",67,1,53,6,2024-7-28
"台中勤美/精誠門市:反手食指向右指:星期一營業異動:反手食指向左指:
「各位注意異動時間，才不會錯過喔！」",340,4,67,7,2024-7-28
手拿冰涼的八曜，才能好好享受音樂:爱你的手势:,35,6,14,7,2024-7-27
"這時間到底是剛起床，還是剛要睡
不然等八曜開店來點「柚香覺醒307」",365,8,258,15,2024-7-27
禮拜六當然曜一次喝五杯啊！,93,4,57,6,2024-7-27
聽說八曜喝越多，越快樂,127,2,48,3,2024-7-26
"各位，308升級後的香氣不會消失！
等到太陽公公出來的時候，才能更加安心品嚐",15,2,8,0,2024-7-26
"02:00點名
平安的跟曜頭簽到",1677,87,6,0,2024-7-25
"為了顧及夥伴及民眾的安全
八曜和茶7/25全台門市不營業",386,7,119,21,2024-7-24
"各位注意門窗玻璃
曜頭家公寓走廊的窗戶今天中午不見了
7樓走廊變小颱風",557,4,79,13,2024-7-24
"放假只好在家聽「浪煎龍片504」主題曲
已經上架各大音樂平台囉:红心:",119,2,51,121,2024-7-24
讀完了依賴，我很快就…我只能選擇八曜,159,5,36,9,2024-7-23
颱風天大家都買什麼泡麵:面条:？,388,95,1,0,2024-7-23
"颱風天:台风:口渴
必須提前預備「浪煎龍片504」",33,1,18,2,2024-7-23
幸福就像…八曜的新品「浪煎龍片系列」,67,1,47,3,2024-7-23
"但有些快樂值得等待，7/26重磅回歸
「308黃金蕎麥」經歷一個月的升級..
更濃了，更香了，更好喝了:红心:",49,1,21,9,2024-7-22
"後續還有兩次呦（北部）（南部）
我們的門市夥伴也會參與演習
13:00-14:00我們鐵門會拉下來喔:安静的脸::军用头盔:",96,5,21,22,2024-7-22
"早起更重要的事，就是來八曜來點
超級厲害的「燕香妃荔504」爽口荔枝甘甜:红心:",28,1,26,2,2024-7-22
"燕麥的清爽,全新八曜「龍香燕麥奶504」:飞吻:",25,2,54,0,2024-7-21
魚乾大大都感到幸福，八曜ㄏㄠ吐露ㄙ！！,99,0,14,56,2024-7-20
「浪煎龍片504」 拒絕平凡、唯有龍片,23,3,11,18,2024-7-20
沒錯，我就是來廣告的,134,3,154,15,2024-7-20
"什麼是「無咖啡因」茶品，清爽無負擔？？
那就是「308」蕎麥系列回來了",65,4,168,9,2024-7-20
"順便在此告訴大家
「308系列」7/26正式回歸:红心:",122,5,23,9,2024-7-19
"您是否近距離看過..？
「日本武士」身穿甲冑交戰的刺激緊張場景？？",48,1,8,66,2024-7-19
"上一篇簽到的
已經加30公分了，現在再加碼30公分！！",69,3,102,9,2024-7-19
再再再再再（罰寫5次）,110,4,209,30,2024-7-19
一杯屬於成功者的味道「浪煎龍片504」,14,1,19,4,2024-7-18
炎熱的夏天就像「擱淺」的感覺..,36,1,28,108,2024-7-18
:警告:史上最強「快閃消息」揭露:警告:,47,14,127,805,2024-7-18
幸福有很多方法，例如加強八曜的清爽程度,150,3,134,2,2024-7-18
"除了給你一杯清涼的八曜..
我還能做什麼？",434,16,123,42,2024-7-17
直到我看見「燕香妃荔504」一切都好了,34,3,45,29,2024-7-17
"曜頭不小心把最新的菜單撕破了
幫我把兩張（捏一下）合起來",2249,68,43,0,2024-7-17
"超大根飲料冰棒！！？
:冰块::冰块::冰块::冰块::冰块::冰块::冰块:
ㄦㄦ柚香菌乳茶「急速冷凍」超涼爽！！
歡迎大家回家DIY做「八曜冰棒杯」",68,2,29,81,2024-7-16
「曜頭有三個願望」感謝大家的祝福能量:祝:,181,7,407,12,2024-7-15
"桌上一樣是放「八曜和茶」在旁邊
炎夏解渴提升工作效率，成功者的味道504",719,4,38,2,2024-7-15
"今天的試喝是「燕香妃荔」
感受荔枝燕麥奶，清爽嘴裡爆炸的感覺:火上之心::火上之心:",68,4,27,60,2024-7-14
"今天 7/14 浪煎龍片504正式上市！
「五杯屬於成功者的味道」",184,1,166,6,2024-7-14
這篇文的愛心浮動，跟看當沖盤一樣刺激,152,2,53,25,2024-7-12
"渴到爛掉怎麼工作？
順便幫同事帶一杯:红桃:柚香覺醒307",114,5,82,1,2024-7-11
7/14 「浪煎龍片」5杯重磅登場！！死了都要愛,49,3,195,86,2024-7-11
"什麼是煎熬？
就是等待「八曜X 漂遊者森林音樂祭」聯名",123,2,280,288,2024-7-10
什麼？你家樓下就有八曜？,445,53,749,1782,2024-7-10
"後來曜頭回家查查原來是偉士牌（Vespa）
《羅馬假期》奧黛麗赫本騎的那台
意外引出車車小編？？",97,4,42,62,2024-7-10
"夏天的炎熱彷彿「擱淺」一樣
來點「柚香覺醒307」甘酸清爽解渴",206,5,643,732,2024-7-9
"在外打拼的你，多久沒有回家了？
帶杯飲料回家跟家人聊聊天珍惜時光。",74,0,15,0,2024-7-9
"（ㄧ）目前幾間待開幕門市
都正在裝潢中以及進行員工訓練，開幕將至我們會另行公告日期以及優惠活動。",506,5,69,75,2024-7-8
品味需求直到7/14 八曜新品推出後，一次解決,90,7,61,42,2024-7-6
"夏天也可以解放輕鬆喝的清爽聖品 504系列
7/14烤燕麥奶的香氣:红心:無慘也擋不住的焙煎",72,2,17,30,2024-7-6
"喝太多「柚香覺醒307」想換口味？
慶祝一次出五杯，只有八曜能超越八曜",219,1,83,17,2024-7-5
「燕香妃荔504燕麥奶」 7/14正式登場,51,1,20,17,2024-7-5
"玲拿啊勒，打開原來是買一送一券
曜頭決定好好發揮
——————-
7/14前 標記八曜和茶",2330,286,525,97,2024-7-4
"忘記我是在Line，不小心回老闆幹話
完蛋…出事了阿北..",1308,9,82,84,2024-7-4
不忍了，直球對決祖克叔叔,325,7,0,0,2024-7-4
"如果祖克柏叔叔來台灣
我一定會請他入境喝到出境",335,1,60,10,2024-7-4
"不只是曜頭
這也是八曜全體人員的努力被看見
我們致力於與大家無論是線上還是門市",178,8,88,40,2024-7-3
"曜頭：先生你要什麼呢？
客人：我要一杯..*^%！
（一台排氣管改超大聲的車衝過去）",119,1,22,7,2024-7-3
"聽說脆上會偵測太像廣告的文
只好派出忍術迷因之術",49,1,8,44,2024-7-3
"1902年「空調系統」誕生，
但不是給人吹的，目的是為印刷品除濕，
所以世界上第一個吹冷氣的，不是人類",47,1,17,5,2024-7-3
"科普一下
村田是鬼滅最後四肢健全，活到最後的路人
俗稱「路柱」",535,4,36,52,2024-7-2
"7月14日
同步推出五款八曜「浪煎龍片504」系列茶品",150,11,53,61,2024-7-1
"八曜和茶「浪煎龍片504」
龍片問世，重新定義綠茶之姿。",14,1,17,93,2024-7-1
天氣熱monkey喝八曜，喝到茫去,862,25,13,0,2024-7-1
"全台有12%人處於慢性失眠
晚上明明都有睡著，起床後卻還是覺得很累",196,1,29,54,2024-7-1
嚇到了吧,40,1,16,20,2024-6-29
"因為八曜就是為您創造，幸福的「第八天」
曜是日本星期的意思，八的日文名HACHI",939,5,67,32,2024-6-29
念你不如念柚香覺醒307,123,12,54,9,2024-6-27
"「歌唱音樂比賽規則」：
1,歌詞中要提到「八曜和茶」、「漂游者」
2,可以使用各種樂器、混音、發揮你的想像力
3.不得使用AI音樂製作(給人類一點機會)
4.音樂活動截止日6/26到7/1
5.留言方式限使用影片、語音、不接受連結",55,3,96,151,2024-6-26
Like 八曜and tea 真的 good good drink,485,1,40,10,2024-6-25
"你可能會忘記曜頭，但絕對忘不了
柚香覺醒307",149,5,73,1,2024-6-25
"只好靠著九妹跟魚乾剛好手上拿著的
「柚香覺醒307」將元氣補到放假",93,0,15,0,2024-6-25
感謝,327,0,56,0,2024-6-24
"觀看數超過全台人數
都還有人不知道「柚香覺醒307」
這可是連壽山的猴子都搶來喝過的神飲",513,8,117,3,2024-6-23
"曜頭現在正在用Spotify聽
「八曜ㄦㄦ菌主題曲」",62,4,258,2,2024-6-23
"但曜頭打不過太陽，只能採取防禦措施
就是來點清爽的柚香覺醒307，預防太陽攻擊",147,2,65,0,2024-6-23
"買商標包字比買衣服包色還刺激
這種刺激大概跟帶一大包八曜回家一樣爽",1323,6,164,6,2024-6-22
八曜多重宇宙，曜就一起征服,1374,6,136,2,2024-6-22
這麼早朋友就在裝醉是要幹嘛？,74,1,20,0,2024-6-22
"擋不住的魅力,一口讓你無法思考",121,3,39,0,2024-6-21
請大家接收到類似訊息，請向本人或朋友確認消息是否屬實，避免貿然提供銀行或是個人資料，以防受騙財損。,325,1,74,1,2024-6-21
如果才藝太奇葩可以附上圖片或影片:爆米花:,112,0,627,0,2024-6-20
最近的太陽太毒辣，來一杯冰涼超順暢:冰块:,52,1,13,0,2024-6-20
今夜是台語電台，歡迎大家畫單K歌,40,0,86,0,2024-6-20
排隊時站前面的突然點20杯,235,6,57,1,2024-6-19
"今天曜頭不打廣告，就想開放討論
大家對於「博愛座的定義」",331,4,95,0,2024-6-18
"音樂祭，陽光火辣
喝八曜就可以自己騎帥檔車參加",71,0,68,0,2024-6-18
曜頭推薦最頂飲料品項都在這裡了,90,3,39,0,2024-6-18
我只害怕，喝不到柚香覺醒307,130,1,89,1,2024-6-17
"如果你按了好幾次重新整理
代表你不止偷偷的關注曜頭長什麼樣子:红心:",554,6,113,1,2024-6-17
"新聞連結
話說我是「八曜和茶」不是「八曜茶坊」啦:笑哭了:",116,4,20,0,2024-6-17
八曜也有小彩蛋,803,13,170,34,2024-6-16
如果是勇者欣梅爾，他也會騎馬來八曜,564,0,134,0,2024-6-15
今天好熱好熱，解渴讓你好爽好爽,100,3,57,1,2024-6-15
"通常台灣人上下班交通的時候
腦袋大部分是怒怒在控制",488,19,4,0,2024-6-14
"歡迎大家來杯柚香覺醒307
來博覽會逛逛",227,2,550,0,2024-6-14
"這是柚香覺醒307
在袋子裡把我的手機解鎖錄到的畫面",190,2,22,0,2024-6-14
新聞連結:反手食指向下指:,148,4,165,0,2024-6-13
"最膩的當然還是門市的夥伴們
想聽八曜音樂可以到YouTube搜尋「八曜和茶」",178,2,40,0,2024-6-12
"@跟X雖然圖案很像，常常容易按錯
是點開完全是不同的世界",527,30,12,0,2024-6-12
好喝的話小聲的告訴旁邊的人,354,3,175,0,2024-6-11
粽子吃多了，需要來點解膩神器,44,2,57,0,2024-6-11
3點了,2099,64,37,0,2024-6-11
"通常是男生容易被「情勒」，還是女生？
.
.
.
.
都不是，是小編
誰懂被一百萬個人標記回文的感覺？",5152,122,53,0,2024-6-10
"通常禮拜一是最辛苦的一天
但端午節禮拜一剛好遇到放假",387,28,0,0,2024-6-10
端午節，胡搞蝦搞,311,16,2,0,2024-6-10
如果你今天吃的是阿嬤親手包的肉粽,1983,65,62,0,2024-6-10
"其他小編你們加油
曜頭我要去度假:沙滩伞:",959,38,10,0,2024-6-10
"是八「曜」和茶，
不是八「耀」和茶，鞋感",6546,179,257,0,2024-6-9
今天被標記一百萬篇「召喚文」回不完,751,43,8,0,2024-6-9
"被召喚完應該也要有回血CD吧
召喚八曜這跟開掛沒兩樣",98,1,22,0,2024-6-9
幫你止住那一場渴，也是我最後的溫柔,166,2,162,0,2024-6-9
今天終於到第470萬個粉絲了,2023,48,2,0,2024-6-9
端午連假，給我去八曜喔,217,10,69,0,2024-6-9
八曜無咖啡因系列，讓你絕對睡得著又解渴,148,0,63,0,2024-6-8
"油膩的肉粽搭配清爽的八曜解膩:红心:
好好放粽一下",183,0,23,0,2024-6-8
"我們的ㄦㄦ動畫
也是用他的RTX4080做出來的",716,3,51,4,2024-6-7
好喝到路上遇到魔物，被搶走的機會很高,66,0,37,0,2024-6-7
"那就要首選8款
超強八曜「解渴聖品」:红心:",44,3,8,0,2024-6-6
:叉号:來我家看貓咪後空翻,348,19,2,0,2024-6-6
"今天簽到刷一排666
到年底一路順暢666",450,193,0,0,2024-6-6
很多人看到我，其實不太會按愛心,906,29,0,0,2024-6-5
沒毛病,140,2,128,0,2024-6-5
端午節立蛋？不如立八曜,33,1,43,0,2024-6-5
八曜和茶「別無他牌」之聲明,896,32,12,0,2024-6-5
"曜頭私藏最愛聽的團
.
.
.
.
「就愛韓德爾」",577,12,18,0,2024-6-4
下午茶一定要選八曜和風茶吧:红心:,109,2,41,0,2024-6-4
"以下是參與
Minecraft 蓋門市活動的「參加獎」
留作品曜粉可:得:「3杯柚香覺醒307」",44,9,28,3,2024-6-4
